ID,kind,mean_hue,mean_sat,mean_val,edge_percent,fourth_LBP,eighth_LBP,Red percentage,Yellow percentage,Green percentage,circles_s
fun1022,fun,15.603274047776502,116.14812107711764,144.0889051315072,22.012228371213443,14233,3903,29.276113718455903,20.048160798093225,0.0380863454308671,3.0
fun1023,fun,15.894696318349224,113.51459699462318,145.40250490843994,19.59782873715144,13232,3165,29.41472436019473,17.48891729446001,0.014958252876064,2.0
fun1024,fun,17.149636135906015,108.37689661186243,145.5355857498454,22.29797219095333,10413,2870,15.988702453372552,32.69436459656394,0.0384383982886556,3.0
fun1025,fun,16.02256160253226,110.810484849185,144.3966937375091,18.46516410013516,14724,3306,29.35744190279716,16.945573690916813,0.026697409137795,2.0
fun1026,fun,18.71539426844572,108.34517376494992,144.75323328296668,21.977360616692703,12612,3735,31.32862757898459,17.56225604199818,0.0680022304731595,5.0
fun1027,fun,19.347556477927665,107.52903596834486,144.55017690374686,22.926225511645644,12734,4046,31.1388513423975,16.86014152818637,0.1046884524661419,5.0
fun1028,fun,19.282739341653404,104.99630412932406,144.37621450707763,23.0327079319876,15334,4709,30.843631282476743,16.5746037290948,0.1364569232784594,5.0
fun1029,fun,19.02923240350946,108.05232718259433,145.00111473947882,22.530852054399286,12467,3773,30.49342380832705,18.254167713830945,0.0865655804082544,3.0
fun1030,fun,19.125628195843483,102.12076722189305,144.9216428555753,21.817323940571026,15159,4158,30.16020778743162,16.09777961660461,0.1264193444582356,4.0
fun1031,fun,18.154331809506903,108.39182681638631,143.6979162043407,23.105942923083752,14629,4605,32.00958896100099,17.157223878851664,0.0713325147634917,6.0
fun1032,fun,18.77771182668052,105.6250079494626,143.91579929196786,21.088334428592628,15587,4203,30.37108068328799,17.370991481200658,0.0345658088399268,5.0
fun1033,fun,18.6072693755622,105.8906373196815,144.63423247343113,22.06576419504936,14763,4204,31.966599616410164,16.488515694437947,0.0701688730878982,6.0
fun1034,fun,18.45022758331271,104.9530629593363,145.2766832018766,22.091183971248103,15144,4354,31.017756018320057,16.219569974956567,0.0609164542111319,5.0
fun1035,fun,16.805535800642904,109.59285125024893,144.39060677609308,20.70520296987455,11655,2927,14.32637858462284,32.80592314447507,0.0015140962359567,3.0
fun1036,fun,18.447746593688134,103.87516012577152,144.19576103412135,21.11098171654827,14328,3894,29.749852565362687,16.264497739335564,0.1253194417141734,3.0
fun1037,fun,20.302623920845864,112.9734455330294,143.21478804927733,22.46580657677757,6850,2054,30.99425983464111,17.978829848859867,0.0842593080204328,1.0
fun1038,fun,17.959289484085467,109.05390481504732,143.9046522982493,22.78603148031899,13955,4243,31.35491164688245,17.761557177615572,0.092162500921625,4.0
fun1039,fun,17.925714438188756,108.80029084505163,144.3904794940897,21.21701310136884,12588,3344,31.8399162516976,16.51765504753282,0.1174173834314169,2.0
fun1040,fun,18.08804868238377,108.4715262550116,144.68291575300697,21.43088840160372,12737,3460,31.225100288112927,18.31653823355068,0.1157965840007719,4.0
fun1041,fun,17.263062202226912,104.65760242067124,147.31126328781303,21.925389178643947,12434,3413,31.79755038196724,15.866653631831069,0.132676005195313,3.0
fun1042,fun,17.123419130019432,106.65007544752868,145.18524268050413,21.952516907845457,15107,4229,31.47850106724195,18.494675204602267,0.1209921355111917,3.0
fun1043,fun,17.058438501200005,107.40223694636153,145.05701457230458,22.74611577460584,14422,4245,31.263570310889,19.09971979961427,0.1285768003784524,4.0
fun1044,fun,17.468641061864158,105.23894992529956,144.08101186059983,22.80446779750592,16107,4710,32.42877970394492,18.319871446966555,0.1351509540380338,6.0
fun1045,fun,16.993302567743463,106.12426931724056,145.2437226363744,23.112057744645604,13925,4139,30.682440165198788,19.772851669403394,0.1704234462855152,1.0
fun1046,fun,18.05836956059984,105.6368824254096,142.244509268044,20.79893513077217,11618,3089,16.25888749477206,28.58039075103065,0.1015713688235645,3.0
fun1047,fun,17.76048338842732,103.3800994634467,141.78039569580272,22.08304314987199,16878,4865,32.27494730348054,17.691635391496582,0.1285280962418384,5.0
fun1048,fun,19.943533331995106,106.16660979183813,142.81167071481622,24.14436838830118,7896,2613,35.2181179293795,15.25754199520055,0.2742543709290367,0.0
fun1049,fun,20.31435297111592,107.52867201085805,142.3581244433134,25.083768079060103,7471,2626,30.106813659339903,19.237894833146544,0.4025525491182726,0.0
fun1050,fun,18.080929853181075,104.78641109298532,140.11311582381728,23.30179445350734,10004,3180,37.41090182844943,12.2327054853483,0.1411797114424434,1.0
fun1051,fun,18.495803577207703,103.20261494314872,144.0300222227017,24.09113465231181,14963,4768,32.23273810195265,17.37526650046814,0.2718586786088958,6.0
fun1052,fun,18.16380962521295,108.56287265758093,138.45625709823963,23.59099943214083,8870,3066,39.01211767144715,12.083749505305017,0.1262650057478845,0.0
fun1053,fun,19.53440715495159,100.8905809056571,142.2938501280771,24.29014891677159,14742,5039,31.523066911739523,18.20693434406859,0.283127647186419,5.0
fun1054,fun,18.241787040214646,103.52770411505944,141.63504196175086,23.684210526315788,10350,3391,35.65139974280344,14.272760246644904,0.2077356810762687,3.0
fun1055,fun,18.66994024729338,99.5010254589915,142.3984302589284,22.8194206156698,16673,4917,32.279164481194655,16.178663622432712,0.2601997264303271,5.0
fun1056,fun,19.10994615269847,103.01490634367327,144.24826725622907,23.771481275516432,12191,3746,32.48203966330642,16.867659922279422,0.2867918034902562,1.0
fun1057,fun,15.8956881259341,111.74814576844103,148.14751442180102,21.982596063860992,11803,3265,21.134294050039784,27.45704771166711,0.0751480859340465,2.0
fun1058,fun,20.81254180329206,104.50186789344036,142.505228470285,25.04771692849802,10148,3238,32.94241020711352,16.918640216726384,0.2883859127851088,2.0
